date,lat,lon,grid_id,aqi_score,aqi_category,aqi_color
2025-10-05,35.4,45.25,0.0,15.189954388076831,Excellent,green
2025-10-05,35.408205128205125,45.25,1.0,8.789564892433722,Excellent,green
2025-10-05,35.41641025641025,45.25,2.0,20.30575525696864,Good,lightgreen
2025-10-05,35.424615384615386,45.25,3.0,12.587501650001897,Excellent,green
2025-10-05,35.43282051282051,45.25,4.0,16.966996239943867,Excellent,green
2025-10-05,35.44102564102564,45.25,5.0,13.837319735090087,Excellent,green
2025-10-05,35.449230769230766,45.25,6.0,14.108224172940819,Excellent,green
2025-10-05,35.45743589743589,45.25,7.0,18.93991196872393,Excellent,green
2025-10-05,35.46564102564103,45.25,8.0,16.99707474039537,Excellent,green
2025-10-05,35.473846153846154,45.25,9.0,17.965584765250956,Excellent,green
2025-10-05,35.48205128205128,45.25,10.0,17.208526629154505,Excellent,green
2025-10-05,35.49025641025641,45.25,11.0,12.534650365632974,Excellent,green
2025-10-05,35.498461538461534,45.25,12.0,14.04170024879436,Excellent,green
2025-10-05,35.50666666666667,45.25,13.0,8.728863261547573,Excellent,green
2025-10-05,35.514871794871794,45.25,14.0,12.784424324412484,Excellent,green
2025-10-05,35.52307692307692,45.25,15.0,13.01604664464037,Excellent,green
2025-10-05,35.53128205128205,45.25,16.0,14.36023651625438,Excellent,green
2025-10-05,35.539487179487175,45.25,17.0,16.70741218362598,Excellent,green
2025-10-05,35.54769230769231,45.25,18.0,15.582583217401414,Excellent,green
2025-10-05,35.555897435897435,45.25,19.0,13.690837441499411,Excellent,green
2025-10-05,35.56410256410256,45.25,20.0,15.783264937746289,Excellent,green
2025-10-05,35.57230769230769,45.25,21.0,12.668816915854862,Excellent,green
2025-10-05,35.58051282051282,45.25,22.0,14.478996701439211,Excellent,green
2025-10-05,35.58871794871795,45.25,23.0,13.85674314513199,Excellent,green
2025-10-05,35.596923076923076,45.25,24.0,12.451453253241827,Excellent,green
2025-10-05,35.6051282051282,45.25,25.0,14.347558800757142,Excellent,green
2025-10-05,35.61333333333333,45.25,26.0,12.292209835090341,Excellent,green
2025-10-05,35.621538461538464,45.25,27.0,17.569298351990387,Excellent,green
2025-10-05,35.62974358974359,45.25,28.0,19.36269552572961,Excellent,green
2025-10-05,35.63794871794872,45.25,29.0,12.425876567998774,Excellent,green
2025-10-05,35.646153846153844,45.25,30.0,22.174208323697176,Good,lightgreen
2025-10-05,35.65435897435897,45.25,31.0,14.237653087789525,Excellent,green
2025-10-05,35.662564102564104,45.25,32.0,12.170323221637311,Excellent,green
2025-10-05,35.67076923076923,45.25,33.0,14.436265194243841,Excellent,green
2025-10-05,35.67897435897436,45.25,34.0,13.913784355212279,Excellent,green
2025-10-05,35.687179487179485,45.25,35.0,10.356591333701186,Excellent,green
2025-10-05,35.69538461538461,45.25,36.0,15.273238113351741,Excellent,green
2025-10-05,35.703589743589745,45.25,37.0,13.597922069050611,Excellent,green
2025-10-05,35.71179487179487,45.25,38.0,15.173405699849265,Excellent,green
2025-10-05,35.72,45.25,39.0,12.421406073287773,Excellent,green
2025-10-05,35.4,45.25948717948718,40.0,10.877360635308019,Excellent,green
2025-10-05,35.408205128205125,45.25948717948718,41.0,14.116817309805604,Excellent,green
2025-10-05,35.41641025641025,45.25948717948718,42.0,12.801353265088993,Excellent,green
2025-10-05,35.424615384615386,45.25948717948718,43.0,13.84169473383204,Excellent,green
2025-10-05,35.43282051282051,45.25948717948718,44.0,15.279036425299719,Excellent,green
2025-10-05,35.44102564102564,45.25948717948718,45.0,11.2204872464768,Excellent,green
2025-10-05,35.449230769230766,45.25948717948718,46.0,20.301050643159822,Good,lightgreen
2025-10-05,35.45743589743589,45.25948717948718,47.0,18.492130393582002,Excellent,green
2025-10-05,35.46564102564103,45.25948717948718,48.0,15.018560121074382,Excellent,green
2025-10-05,35.473846153846154,45.25948717948718,49.0,18.074130826768336,Excellent,green
2025-10-05,35.48205128205128,45.25948717948718,50.0,15.500212528308142,Excellent,green
2025-10-05,35.49025641025641,45.25948717948718,51.0,17.557689373972465,Excellent,green
2025-10-05,35.498461538461534,45.25948717948718,52.0,24.438622469010664,Good,lightgreen
2025-10-05,35.50666666666667,45.25948717948718,53.0,19.886443089323798,Excellent,green
2025-10-05,35.514871794871794,45.25948717948718,54.0,20.475802164584234,Good,lightgreen
2025-10-05,35.52307692307692,45.25948717948718,55.0,17.87721639151051,Excellent,green
2025-10-05,35.53128205128205,45.25948717948718,56.0,19.087701329748924,Excellent,green
2025-10-05,35.539487179487175,45.25948717948718,57.0,17.2441828848222,Excellent,green
2025-10-05,35.54769230769231,45.25948717948718,58.0,16.245653679490175,Excellent,green
2025-10-05,35.555897435897435,45.25948717948718,59.0,19.992352886570714,Excellent,green
2025-10-05,35.56410256410256,45.25948717948718,60.0,14.638431474354975,Excellent,green
2025-10-05,35.57230769230769,45.25948717948718,61.0,10.420330173922064,Excellent,green
2025-10-05,35.58051282051282,45.25948717948718,62.0,17.589692554414377,Excellent,green
2025-10-05,35.58871794871795,45.25948717948718,63.0,14.985276866711303,Excellent,green
2025-10-05,35.596923076923076,45.25948717948718,64.0,16.313451487174614,Excellent,green
2025-10-05,35.6051282051282,45.25948717948718,65.0,13.504271652645858,Excellent,green
2025-10-05,35.61333333333333,45.25948717948718,66.0,15.945022595535837,Excellent,green
2025-10-05,35.621538461538464,45.25948717948718,67.0,10.522336051514472,Excellent,green
2025-10-05,35.62974358974359,45.25948717948718,68.0,16.189603235241304,Excellent,green
2025-10-05,35.63794871794872,45.25948717948718,69.0,10.802591361784568,Excellent,green
2025-10-05,35.646153846153844,45.25948717948718,70.0,14.941546866508332,Excellent,green
2025-10-05,35.65435897435897,45.25948717948718,71.0,12.654375878063586,Excellent,green
2025-10-05,35.662564102564104,45.25948717948718,72.0,11.366543847479951,Excellent,green
2025-10-05,35.67076923076923,45.25948717948718,73.0,19.60305078650861,Excellent,green
2025-10-05,35.67897435897436,45.25948717948718,74.0,18.278469910068676,Excellent,green
2025-10-05,35.687179487179485,45.25948717948718,75.0,18.90549127257577,Excellent,green
2025-10-05,35.69538461538461,45.25948717948718,76.0,24.285149686152174,Good,lightgreen
2025-10-05,35.703589743589745,45.25948717948718,77.0,15.230608262886038,Excellent,green
2025-10-05,35.71179487179487,45.25948717948718,78.0,15.550141600190347,Excellent,green
2025-10-05,35.72,45.25948717948718,79.0,15.934377140419464,Excellent,green
2025-10-05,35.4,45.26897435897436,80.0,16.597712080739363,Excellent,green
2025-10-05,35.408205128205125,45.26897435897436,81.0,15.456664324855586,Excellent,green
2025-10-05,35.41641025641025,45.26897435897436,82.0,14.487102724026958,Excellent,green
2025-10-05,35.424615384615386,45.26897435897436,83.0,16.222661009316795,Excellent,green
2025-10-05,35.43282051282051,45.26897435897436,84.0,19.29973557829106,Excellent,green
2025-10-05,35.44102564102564,45.26897435897436,85.0,9.780652003882023,Excellent,green
2025-10-05,35.449230769230766,45.26897435897436,86.0,20.885069988638946,Good,lightgreen
2025-10-05,35.45743589743589,45.26897435897436,87.0,18.809026218642575,Excellent,green
2025-10-05,35.46564102564103,45.26897435897436,88.0,13.148353978525797,Excellent,green
2025-10-05,35.473846153846154,45.26897435897436,89.0,20.849909022905777,Good,lightgreen
2025-10-05,35.48205128205128,45.26897435897436,90.0,16.66966445539993,Excellent,green
2025-10-05,35.49025641025641,45.26897435897436,91.0,14.62770338594247,Excellent,green
2025-10-05,35.498461538461534,45.26897435897436,92.0,16.30223452463967,Excellent,green
2025-10-05,35.50666666666667,45.26897435897436,93.0,14.249011405780614,Excellent,green
2025-10-05,35.514871794871794,45.26897435897436,94.0,21.13674189339777,Good,lightgreen
2025-10-05,35.52307692307692,45.26897435897436,95.0,14.321142623512609,Excellent,green
2025-10-05,35.53128205128205,45.26897435897436,96.0,21.351732226974296,Good,lightgreen
2025-10-05,35.539487179487175,45.26897435897436,97.0,18.113902433034283,Excellent,green
