lat,lon,population_density,development_suitability_score,distance_to_center_km,urban_category,grid_i,grid_j,timestamp
35.427222,45.155833,659.0682450030721,26.362729800122892,29.29163816448681,Low Density,0.0,0.0,2025-10-05T14:47:52.361882
35.427222,45.15983412121212,472.36844430544767,18.89473777221791,28.980014534069284,Rural,0.0,1.0,2025-10-05T14:47:52.361882
35.427222,45.16383524242424,423.66225489807147,16.94649019592285,28.669580378410082,Rural,0.0,2.0,2025-10-05T14:47:52.361882
35.427222,45.16783636363636,356.4528930963703,14.2581157238548,28.360374758214878,Rural,0.0,3.0,2025-10-05T14:47:52.361882
35.427222,45.17183748484849,408.6578559161188,16.34631423664476,28.05243829831287,Rural,0.0,4.0,2025-10-05T14:47:52.361882
35.427222,45.17583860606061,553.5575540897555,22.142302163590216,27.745813256517025,Low Density,0.0,5.0,2025-10-05T14:47:52.361882
35.427222,45.17983972727273,731.3769937449154,29.255079749796607,27.440543595364183,Low Density,0.0,6.0,2025-10-05T14:47:52.361882
35.427222,45.18384084848485,407.5307732917537,16.301230931670148,27.13667505681281,Rural,0.0,7.0,2025-10-05T14:47:52.361882
35.427222,45.18784196969697,512.0452853893933,20.481811415575734,26.83425523994794,Low Density,0.0,8.0,2025-10-05T14:47:52.361882
35.427222,45.19184309090909,440.43637479384205,17.617454991753675,26.53333368174447,Rural,0.0,9.0,2025-10-05T14:47:52.362881
35.427222,45.195844212121216,556.4964711753835,22.259858847015337,26.23396194092283,Low Density,0.0,10.0,2025-10-05T14:47:52.362881
35.427222,45.199845333333336,609.8241860700349,24.392967442801407,25.93619368491983,Low Density,0.0,11.0,2025-10-05T14:47:52.362881
35.427222,45.203846454545456,542.7456571452877,21.709826285811502,25.640084779968458,Low Density,0.0,12.0,2025-10-05T14:47:52.362881
35.427222,45.207847575757576,715.5448612421418,28.62179444968568,25.345693384276917,Low Density,0.0,13.0,2025-10-05T14:47:52.362881
35.427222,45.211848696969696,519.8329699262764,20.793318797051057,25.053080044253594,Low Density,0.0,14.0,2025-10-05T14:47:52.362881
35.427222,45.215849818181816,622.2705641271253,24.890822565085017,24.762307793705567,Low Density,0.0,15.0,2025-10-05T14:47:52.362881
35.427222,45.21985093939394,668.8773927512246,26.75509571004899,24.473442255899933,Low Density,0.0,16.0,2025-10-05T14:47:52.364087
35.427222,45.22385206060606,527.794489503424,21.111779580136954,24.186551748341078,Low Density,0.0,17.0,2025-10-05T14:47:52.364087
35.427222,45.22785318181818,395.7729157723348,15.830916630893384,23.901707390060515,Rural,0.0,18.0,2025-10-05T14:47:52.364087
35.427222,45.2318543030303,235.47710361575832,9.419084144630318,23.618983211181323,Rural,0.0,19.0,2025-10-05T14:47:52.364087
35.427222,45.23585542424242,772.0309452510488,30.881237810041952,23.338456264441394,Low Density,0.0,20.0,2025-10-05T14:47:52.364087
35.427222,45.23985654545454,541.2827262836479,21.65130905134592,23.06020673830279,Low Density,0.0,21.0,2025-10-05T14:47:52.364087
35.427222,45.24385766666667,773.7716497541228,30.950865990164914,22.78431807119388,Low Density,0.0,22.0,2025-10-05T14:47:52.364087
35.427222,45.24785878787879,78.18111910517887,3.1272447642071484,22.51087706634911,Rural,0.0,23.0,2025-10-05T14:47:52.364087
35.427222,45.25185990909091,263.75669774524704,10.55026790980989,22.23997400660475,Rural,0.0,24.0,2025-10-05T14:47:52.364087
35.427222,45.25586103030303,480.06412486507907,19.202564994603165,21.971702768419682,Rural,0.0,25.0,2025-10-05T14:47:52.364087
35.427222,45.25986215151515,539.6447707694531,21.585790830778123,21.706160934254566,Low Density,0.0,26.0,2025-10-05T14:47:52.365112
35.427222,45.26386327272727,678.4978637020616,27.139914548082473,21.443449902323476,Low Density,0.0,27.0,2025-10-05T14:47:52.365112
35.427222,45.2678643939394,780.1696677977133,31.206786711908535,21.18367499258546,Low Density,0.0,28.0,2025-10-05T14:47:52.366435
35.427222,45.27186551515152,293.65477266175833,11.746190906470332,20.926945547692927,Rural,0.0,29.0,2025-10-05T14:47:52.366435
35.427222,45.27586663636364,655.0898170816453,26.203592683265825,20.67337502743693,Low Density,0.0,30.0,2025-10-05T14:47:52.367486
35.427222,45.27986775757576,83.86946004298206,3.3547784017192868,20.42308109506684,Rural,0.0,31.0,2025-10-05T14:47:52.367486
35.427222,45.28386887878788,101.81351101168116,4.072540440467236,20.176185693655935,Rural,0.0,32.0,2025-10-05T14:47:52.367486
35.427222,45.28787,205.27388376931185,8.21095535077248,19.93281511049459,Rural,0.0,33.0,2025-10-05T14:47:52.367486
35.427222,45.29187112121212,614.3111921484451,24.572447685937803,19.693100027282384,Low Density,0.0,34.0,2025-10-05T14:47:52.367486
35.427222,45.295872242424245,112.34823904467699,4.493929561787084,19.457175553678134,Rural,0.0,35.0,2025-10-05T14:47:52.367486
35.427222,45.299873363636365,446.01749379175,17.84069975167,19.225181241556104,Rural,0.0,36.0,2025-10-05T14:47:52.367486
