lat,lon,road_accessibility,healthcare_accessibility,education_accessibility,infrastructure_score,nearest_road_km,nearest_hospital_km,nearest_school_km,grid_i,grid_j,timestamp
35.427222,45.155833,0.0,0.0,0.0,0.0,27.953276548702764,29.964062678810308,27.953276548702764,0.0,0.0,2025-10-05T14:47:49.250876
35.427222,45.15983412121212,0.0,0.0,0.0,0.0,27.638388743205372,29.653995456465953,27.638388743205372,0.0,1.0,2025-10-05T14:47:49.251913
35.427222,45.16383524242424,0.0,0.0,0.0,0.0,27.324674714515567,29.3451230206365,27.324674714515567,0.0,2.0,2025-10-05T14:47:49.253140
35.427222,45.16783636363636,0.0,0.0,0.0,0.0,27.01217535921959,29.03748349878474,27.01217535921959,0.0,3.0,2025-10-05T14:47:49.253140
35.427222,45.17183748484849,0.0,0.0,0.0,0.0,26.70093332634373,28.731116495871177,26.70093332634373,0.0,4.0,2025-10-05T14:47:49.254169
35.427222,45.17583860606061,0.0,0.0,0.0,0.0,26.39099310112243,28.426063156842996,26.39099310112243,0.0,5.0,2025-10-05T14:47:49.254169
35.427222,45.17983972727273,0.0,0.0,0.0,0.0,26.082401092713095,28.122366231584266,26.082401092713095,0.0,6.0,2025-10-05T14:47:49.255170
35.427222,45.18384084848485,0.0,0.0,0.0,0.0,25.775205725997168,27.820070142383383,25.775205725997168,0.0,7.0,2025-10-05T14:47:49.255170
35.427222,45.18784196969697,0.0,0.0,0.0,0.0,25.469457537580613,27.519221053946488,25.469457537580613,0.0,8.0,2025-10-05T14:47:49.255170
35.427222,45.19184309090909,0.0,0.0,0.0,0.0,25.16520927610871,27.219866945987203,25.16520927610871,0.0,9.0,2025-10-05T14:47:49.256173
35.427222,45.195844212121216,0.0,0.0,0.0,0.0,24.862516006992312,26.922057688406177,24.862516006992312,0.0,10.0,2025-10-05T14:47:49.256173
35.427222,45.199845333333336,0.0,0.0,0.0,0.0,24.56143522163083,26.625845119064504,24.56143522163083,0.0,11.0,2025-10-05T14:47:49.257167
35.427222,45.203846454545456,0.0,0.0,0.0,0.0,24.262026951185145,26.331283124126696,24.262026951185145,0.0,12.0,2025-10-05T14:47:49.258176
35.427222,45.207847575757576,0.0,0.0,0.0,0.0,23.964353884947034,26.038427720948206,23.964353884947034,0.0,13.0,2025-10-05T14:47:49.259181
35.427222,45.211848696969696,0.0,0.0,0.0,0.0,23.66848149330217,25.747337143440696,23.66848149330217,0.0,14.0,2025-10-05T14:47:49.260184
35.427222,45.215849818181816,0.0,0.0,0.0,0.0,23.37447815525797,25.458071929833505,23.37447815525797,0.0,15.0,2025-10-05T14:47:49.260184
35.427222,45.21985093939394,0.0,0.0,0.0,0.0,23.08241529045906,25.17069501271464,23.08241529045906,0.0,16.0,2025-10-05T14:47:49.261167
35.427222,45.22385206060606,0.0,0.0,0.0,0.0,22.792367495565156,24.8852718112047,22.792367495565156,0.0,17.0,2025-10-05T14:47:49.262166
35.427222,45.22785318181818,0.0,0.0,0.0,0.0,22.50441268479379,24.60187032506606,22.50441268479379,0.0,18.0,2025-10-05T14:47:49.262166
