lat,lon,elevation,slope_percentage,development_suitability,terrain_category,grid_i,grid_j,timestamp
35.427222,45.155833,627.7912415659165,0.0,100.0,Flat,0.0,0.0,2025-10-05T14:47:48.421330
35.427222,45.15983412121212,624.3037371888099,0.0,100.0,Flat,0.0,1.0,2025-10-05T14:47:48.421330
35.427222,45.16383524242424,611.7112192029125,0.17505148234642037,100.0,Flat,0.0,2.0,2025-10-05T14:47:48.422328
35.427222,45.16783636363636,627.7894571451367,0.0,100.0,Flat,0.0,3.0,2025-10-05T14:47:48.422328
35.427222,45.17183748484849,520.6289154906767,4.3961935309065066,100.0,Gentle,0.0,4.0,2025-10-05T14:47:48.422328
35.427222,45.17583860606061,612.0254312021283,0.0,100.0,Flat,0.0,5.0,2025-10-05T14:47:48.422328
35.427222,45.17983972727273,563.5661397915172,0.7975732292840654,100.0,Flat,0.0,6.0,2025-10-05T14:47:48.422328
35.427222,45.18384084848485,631.8755898040699,5.063185178123161,88.0,Moderate,0.0,7.0,2025-10-05T14:47:48.422328
35.427222,45.18784196969697,598.2195930105288,2.084331415629868,100.0,Gentle,0.0,8.0,2025-10-05T14:47:48.422328
35.427222,45.19184309090909,600.5555039438411,2.1411328772441727,100.0,Gentle,0.0,9.0,2025-10-05T14:47:48.422328
35.427222,45.195844212121216,649.5196208640879,2.7138506517052132,100.0,Gentle,0.0,10.0,2025-10-05T14:47:48.422328
35.427222,45.199845333333336,530.3003704432462,4.89324820970588,100.0,Gentle,0.0,11.0,2025-10-05T14:47:48.422328
35.427222,45.203846454545456,589.0879031099647,0.0,100.0,Flat,0.0,12.0,2025-10-05T14:47:48.423327
35.427222,45.207847575757576,537.3549180662353,4.129627550073359,100.0,Gentle,0.0,13.0,2025-10-05T14:47:48.423327
35.427222,45.211848696969696,621.7562370058206,0.0,100.0,Flat,0.0,14.0,2025-10-05T14:47:48.423327
35.427222,45.215849818181816,619.8307033184415,0.9509084250393198,100.0,Flat,0.0,15.0,2025-10-05T14:47:48.423327
35.427222,45.21985093939394,595.1626898571751,0.0,100.0,Flat,0.0,16.0,2025-10-05T14:47:48.423327
