lat,lon,raw_light_intensity,normalized_intensity,economic_activity_score,activity_level
35.4108,45.2847,0.043673431304694275,0.043673431304694275,20,Very Low
35.4108,45.2947,0.0,0.0,20,Very Low
35.4108,45.3047,0.01392478137653469,0.01392478137653469,20,Very Low
35.4108,45.314699999999995,0.0,0.0,20,Very Low
35.4108,45.32469999999999,0.13507850084275416,0.13507850084275416,60,Moderate
35.4108,45.33469999999999,0.02876410990062324,0.02876410990062324,20,Very Low
35.4108,45.34469999999999,0.07180595265490296,0.07180595265490296,20,Very Low
35.4108,45.35469999999999,0.0,0.0,20,Very Low
35.4108,45.364699999999985,0.12639429647421793,0.12639429647421793,60,Moderate
35.4108,45.37469999999998,0.1872992432229112,0.1872992432229112,60,Moderate
35.4108,45.38469999999998,0.26459943545733455,0.26459943545733455,60,Moderate
35.4108,45.39469999999998,0.265623409150121,0.265623409150121,60,Moderate
35.4108,45.40469999999998,0.05646885804020971,0.05646885804020971,20,Very Low
35.4108,45.414699999999975,0.1284889721184745,0.1284889721184745,60,Moderate
35.4108,45.42469999999997,0.2760743832213948,0.2760743832213948,60,Moderate
35.4108,45.43469999999997,0.24663639450389674,0.24663639450389674,60,Moderate
35.4108,45.44469999999997,0.1701965458512077,0.1701965458512077,60,Moderate
35.4108,45.45469999999997,0.2957037183107718,0.2957037183107718,60,Moderate
35.4108,45.464699999999965,0.2903821052472511,0.2903821052472511,60,Moderate
35.4108,45.47469999999996,0.2911659379522218,0.2911659379522218,60,Moderate
35.4108,45.48469999999996,0.0,0.0,20,Very Low
35.4108,45.49469999999996,0.2560037816747921,0.2560037816747921,60,Moderate
35.4108,45.50469999999996,0.16079438680184122,0.16079438680184122,60,Moderate
35.4108,45.514699999999955,0.025823275867651735,0.025823275867651735,20,Very Low
35.4108,45.52469999999995,0.11656585307230759,0.11656585307230759,60,Moderate
35.4108,45.53469999999995,0.04693162782765585,0.04693162782765585,20,Very Low
35.4108,45.54469999999995,0.07238291699145522,0.07238291699145522,20,Very Low
35.4108,45.55469999999995,0.0,0.0,20,Very Low
35.4108,45.564699999999945,0.048401544305595595,0.048401544305595595,20,Very Low
35.4108,45.57469999999994,0.0,0.0,20,Very Low
35.4108,45.58469999999994,0.010174223212963584,0.010174223212963584,20,Very Low
35.4208,45.2847,0.06751711321287338,0.06751711321287338,20,Very Low
35.4208,45.2947,0.037071954438652924,0.037071954438652924,20,Very Low
35.4208,45.3047,0.1631978305339679,0.1631978305339679,60,Moderate
35.4208,45.314699999999995,0.14437365480930825,0.14437365480930825,60,Moderate
35.4208,45.32469999999999,0.12811143955545523,0.12811143955545523,60,Moderate
35.4208,45.33469999999999,0.1293756092680764,0.1293756092680764,60,Moderate
35.4208,45.34469999999999,0.20946803220708832,0.20946803220708832,60,Moderate
35.4208,45.35469999999999,0.17568914769984972,0.17568914769984972,60,Moderate
35.4208,45.364699999999985,0.22219323389098158,0.22219323389098158,60,Moderate
35.4208,45.37469999999998,0.1828684325891817,0.1828684325891817,60,Moderate
35.4208,45.38469999999998,0.29784231324014515,0.29784231324014515,60,Moderate
35.4208,45.39469999999998,0.2386815773334675,0.2386815773334675,60,Moderate
35.4208,45.40469999999998,0.20615249821011208,0.20615249821011208,60,Moderate
35.4208,45.414699999999975,0.0,0.0,20,Very Low
35.4208,45.42469999999997,0.28458322504130884,0.28458322504130884,60,Moderate
35.4208,45.43469999999997,0.3373877199413248,0.3373877199413248,90,Very High
35.4208,45.44469999999997,0.23751882657048395,0.23751882657048395,60,Moderate
