date,lat,lon,grid_id,NO2_value,SO2_value,CO_value,O3_value,HCHO_value,AER_AI_value
2025-10-05,35.4,45.25,0.0,3.078984479606816,5.732854134696689,0.2262703928091881,182.17395646195567,1.166829402634142,0.3576506504658072
2025-10-05,35.408205128205125,45.25,1.0,0.49027426181902484,0.3503661428331708,0.23866177780715153,187.12936893234522,3.055354264336439,0.3313004224217184
2025-10-05,35.41641025641025,45.25,2.0,1.804443499290135,7.6346901247590875,0.02404567344310149,191.149919939832,6.978124659537703,0.5853094804285488
2025-10-05,35.424615384615386,45.25,3.0,4.580870517887891,4.515332840870848,0.22210895116482432,193.4576347995365,2.123549056460438,0.03503661428331708
2025-10-05,35.43282051282051,45.25,4.0,3.716518314649767,4.976850902562098,0.14850187499505996,187.64406386567904,6.218285480662,0.3453637289010721
2025-10-05,35.44102564102564,45.25,5.0,0.3503661428331708,3.913743252652529,0.021021968569990248,181.59254468679293,4.287626740292314,0.47764481907450446
2025-10-05,35.449230769230766,45.25,6.0,6.913665314141658,2.389980180007686,0.1909365559224539,176.27700871468977,4.3502971454609085,0.10820667406268265
2025-10-05,35.45743589743589,45.25,7.0,5.2624138428684235,5.150326084761394,0.3275452233125671,172.72091534656343,6.133720629697757,0.359968390298332
2025-10-05,35.46564102564103,45.25,8.0,4.658389710528936,7.890498205738243,0.14541465816164922,192.66388366735342,1.3374763629626871,0.23071363365748931
2025-10-05,35.473846153846154,45.25,9.0,3.8415845488347697,3.4833196496749976,0.38848175649752276,147.76410328538373,6.698988030668737,0.40993709759818164
2025-10-05,35.48205128205128,45.25,10.0,2.6529901991563487,5.317452269948335,0.3474430676091052,182.43829741447772,3.3341817822359188,0.5501302096912568
2025-10-05,35.49025641025641,45.25,11.0,1.0181771985302677,3.279864609978291,0.28812707357156486,174.5747095727725,2.9147155703055816,0.33973781290962796
2025-10-05,35.498461538461534,45.25,12.0,3.6133835379427413,0.933609868958386,0.20914686001023536,176.91824654048384,3.3353302906317057,0.635415349063113
2025-10-05,35.50666666666667,45.25,13.0,1.1150052959411854,0.3503661428331708,0.1537368417742723,216.06559613544334,7.4920089918359025,0.12095941173598851
2025-10-05,35.514871794871794,45.25,14.0,2.0451616969748723,2.181169461973858,0.4232280825186639,176.34258359249523,3.537790662209883,0.37325032889283105
2025-10-05,35.52307692307692,45.25,15.0,3.529241403453634,0.7576188291332323,0.14996271734372302,186.78445008062033,5.81767753213648,0.4193356576380627
2025-10-05,35.53128205128205,45.25,16.0,2.897586381686031,2.9378077999983336,0.23249530333816204,166.29845324973437,4.971062757904986,0.3093926224978251
2025-10-05,35.539487179487175,45.25,17.0,2.9060176672426703,4.968689701735773,0.13272679803819415,169.56326055743594,7.159449511256066,0.2394340229901436
